#,Name,Edition,Edition #,Reference,Category,Notes,Release Date (if known)
146,King Mickey,"1st edition (Best Buy, soft)
1st edition (Target, soft)
1st edition (GameStop, soft)
2nd Edition (FiGPiN.com)
2nd edition (Target, hard)","2,088
4,992
7,732
144
480",Kingdom Hearts,Video Games,,
147,Donald Duck,"1st Edition (hard)
1st edition (Best Buy, soft)
1st edition (GameStop, soft)
2nd Edition (FiGPiN.com)
2nd edition (Target, hard)","396
1,044
3,816
72
240",Kingdom Hearts,Video Games,,
148,Goofy,"1st edition (GameStop, soft)
2nd Edition (FiGPiN.com)
2nd edition (Target, hard)
3rd Edition
4th Edition","3,816
72
240
TBD
666",Kingdom Hearts,Video Games,,
149,Vault Boy - Salute,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
150,All Might Silver Age,1st Edition,TBD,My Hero Academia,Anime,Coming October 2019,
151,Nuka Cola Girl,"1st Edition (GameStop, soft)","9,216",Fallout,Video Games,Coming October 2019,
152,The Lone Survivor,1st Edition (hard),"1,008",PLAYERUNKNOWN'S BATTLEGROUNDS,Video Games,FiGPiN.com Exclusive,
153,Vegeta - Over 9000!,1st Edition (hard),504,Dragon Ball Z,Anime,FiGPiN.com Exclusive,
154,Captain Marvel,"1st Edition (hard)
3rd Edition","504
1,008",Captain Marvel,Marvel,,
155,Captain Marvel Starforce (RARE),"AP Edition (hard)
1st Edition (hard)","36
504",Captain Marvel,Marvel,,
156,Vault Boy - Strength,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
157,Vault Boy - Perception,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
158,Vault Boy - Endurance,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
159,Vault Boy - Charisma,"AP Edition
1st Edition (hard)","15
1,008",Fallout 76,Video Games,Bethesda Exclusive,
160,Vault Boy - Intelligence,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
161,Vault Boy - Agility,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
162,Vault Boy - Luck,1st Edition (hard),"1,008",Fallout 76,Video Games,Bethesda Exclusive,
163,Ochaco Uraraka,"1st Edition
1st Edition (GameStop, soft)","1,104
3,024",My Hero Academia,Anime,,
164,Katsuki Bakugo,"1st Edition (GameStop, soft)","3,024",My Hero Academia,Anime,,
165,Shota Aizawa,"1st Edition (GameStop, soft)","3,024",My Hero Academia,Anime,,
166,Shoto Todoroki,"1st Edition (GameStop, soft)
1st Edition (hard)","8,136
3,024",My Hero Academia,Anime,,
167,Reaper,"AP Edition
1st Edition (hard)","36
1,512",Overwatch,Video Games,,
168,Sombra,1st Edition (hard),"1,512",Overwatch,Video Games,,
169,Genji,1st Edition (hard),"1,512",Overwatch,Video Games,,
170,TBD,TBD,TBD,TBD,TBD,,
171,TBD,TBD,TBD,TBD,TBD,,
172,TBD,TBD,TBD,TBD,TBD,,
173,Kid Buu,"1st Edition (hard)
1st Edition (soft)","504
6,552",Dragon Ball FighterZ,Anime,,
174,Broly,1st Edition (hard),504,Dragon Ball FighterZ,Anime,,
175,Super Saiyan Trunks,"1st Edition (hard)
1st Edition (soft)","2,016
8,640",Dragon Ball FighterZ,Anime,,
176,Tsuyu Asui,"1st Edition (GameStop, soft)","7,704",My Hero Academia,Anime,,October 2019
177,David Bowie - Ziggy Stardust,1st Edition (hard),"1,008",David Bowie,Music,,
